인증사회적기업 리스트('16년 6차) 2016.12.27.,,,,,,,,,,,,
,,,,,,,,,,,,
지역,인증번호,기관명,사업내용,"사회적목적
실현유형",사회서비스분야,대표자,대표전화번호,팩스,소재지,홈페이지,인증일자,인증회차
충북,제2013-152호,한드미영농조합법인,"농촌 체험관광 및 농어촌 유학 프로그램, 농특산물 판매",일자리제공형,관광운동,정문찬,043-422-2831,043-423-5861,충청북도 단양군 가곡면 어의곡리 298-1,www.handemy.org,9/9/13,2013년 4차
제주,제주특별자치도 제2013-003호,주식회사 제이엠누리,"지역문화콘텐츠 개발, 광고, 인터넷뉴스",일자리제공형,기타,김원국,070-4270-5670,064-753-0221,"제주특별자치도 제주시 첨단로 213-3-, 5층(영평동 507호)",www.jmnuri.com,9/9/13,2013년 4차
제주,제주특별자치도 제2013-004호,유한회사 좋은세상,방역사업 및 아동주부식 배달사업,일자리제공형,청소,김창수,064-763-0219,064-763-0219,제주특별자치도 서귀포시 동홍동 353-1 주공영구임대아파트 상가 204호,jounsesang.kr,9/9/13,2013년 4차
제주,제주특별자치도 제2013-005호,한울영농조합법인,"친환경 농산물 출하 및 가공, 판매",일자리제공형,기타,신만균,064-783-0887,064-783-0887,제주특별자치도 제주시 조천읍 신조로 78,www.jejuhanul.co.kr,9/9/13,2013년 4차
대전,제2013-153호,주식회사 청화팜,"천연의약외품, 화장품, 비누제조 ",일자리제공형,기타,이화숙,042-322-7729,042-367-7729,"대전광역시 서구 월평서로 21, 6층(월평동)",www.chtrade.co.kr,11/8/13,2013년 5차
대전,제2013-154호,주식회사 이엠에코,"치약,비누,세제 등 제조 및 판매",일자리제공형,기타,이용호,042-253-0801,042-367-1237,"대전광역시 대덕구 평촌3길 15 (평촌동,단층)",이엠에코.kr,11/8/13,2013년 5차
광주,제2013-155호,교육사회적기업 포인트 주식회사,방과후학교,혼합형,교육,"김지영, 양승주",1899-4703,062-654-8019,광주광역시 북구 양일로 147-46(일곡동),www.pointacademy.kr,11/8/13,2013년 5차
전남,제2013-156호,사단법인호남연정국악연수원,문화예술공연,기타형,교육,신상철,061-371-1788,061-372-8789,"전라남도 화순군 화순읍 칠충로 157-1, 1층(재향군인회관)",,11/8/13,2013년 5차
전남,제2013-158호,(사)예담은규방문화원,천연염색 및 체험교육,일자리제공형,관광운동,이혜숙,061-471-3387,061-471-3386,전라남도 영암군 군서면 왕인로 710-25,www.yedameun.kr,11/8/13,2013년 5차
전남,제2013-159호,㈜쿠키아,방과후학교,일자리제공형,교육,김명신,061-651-3500,061-651-3522,전라남도 여수시 소라면 덕양로 412,www.cooka.co.kr,11/8/13,2013년 5차
전북,제2013-160호,국악예술단 고창,문화예술공연,일자리제공형,문화예술,이병열,063-3585-3364,063-564-4199,전라북도 고창군 고창읍 읍내리 456-1,blog.naver.com/artgochang,11/8/13,2013년 5차
전북,제2013-161호,유한회사 착한자전거,"자전거 재활용 및 제조, 직업훈련",일자리제공형,기타,박석순,063-213-0110,063-276-0110,전라북도 전주시 덕진구 덕진동 1가 1220 종합경기장 159-1,cafe.daum.net/bike999,11/8/13,2013년 5차
경북,제2013-162호,㈜갈릴리,재활용 선별 및 판매,일자리제공형,환경,이용주,054-433-0836,054-435-0836,경상북도 김천시 공단1길 106(대광동),www.김천갈릴리.kr,11/8/13,2013년 5차
경북,제2013-164호,주식회사 자연스레,"천연염색 제품 제조 판매, 체험교육",일자리제공형,기타,전경춘,070-4107-7300,054-261-6070,경상북도 포항시 북구 아치로 37(우현동),,11/8/13,2013년 5차
부산,제2013-165호,고려학원영도구장애인복지관 카페에또와,카페 개설 및 운영,일자리제공형,기타,김선희,051-403-6401,051-403-6400,"부산광역시 영도구 함지로79번길 6(동삼동,영도구장애인복지관1층)",www.yeongdorc.or.kr,11/8/13,2013년 5차
울산,제2013-166호,주식회사 예선,주거환경개선 사업,일자리제공형,기타,이성호,052-276-7755,052-276-7733,울산광역시 울주군 범서읍 천상리 33블럭3롯트,,11/8/13,2013년 5차
울산,제2013-167호," 사단법인 울산광역시지체장애인협회 
중구장애인보호작업장 ","자동차 썬바이저 및 덕트 임가공, 사무용지 ",일자리제공형,기타,서선자,052-243-0051,052-243-0052,울산광역시 중구 성안 14길 26,www.thejoeun.or.kr,11/8/13,2013년 5차
경남,제2013-168호,㈜그린푸드센터행복샵,"케이터링, 공정무역운동, 식생활 교육",일자리제공형,기타,조정림,055-252-9898,055-255-4167,"경상남도 창원시 마산회원구 삼호로 115 (양덕동,5층)",www.ymcashop.co.kr,11/8/13,2013년 5차
경남,제2013-169호,영농조합법인 창녕로컬푸드,지역농산물 판매,일자리제공형,기타,한현기,055-532-1491,,경상남도 창녕군 대지면 효정리 205-6,,11/8/13,2013년 5차
경기,제2013-170호, 주식회사 도야,도자기 체험학습,일자리제공형,관광운동,양찬모,031-948-5787,031-958-7063,kma4555@daum.net,www.doya.or.kr,11/8/13,2013년 5차
경기,제2013-171호,(사)한국장애인케어협회 인쇄사업단,"인쇄, 판촉물",일자리제공형,기타,김병하,031-941-9549,031-941-9549,ipass-21@hanmail.net,www.kach.or.kr,11/8/13,2013년 5차
경기,제2013-172호,(주)광주돌봄,장기요양 돌봄서비스,혼합형,간병가사지원,유복순, 031-762-0765,031-762-0765,경기도 광주시 송정동 122-5 2층,www.광주돌봄.com,11/8/13,2013년 5차
경기,제2013-173호,어린이청소년체육문화연대,"장애아동상담, 스포츠 재활치료",사회서비스제공형,교육,안덕희,031-431-4892,031-433-4892,경기도 시흥시 정왕동 2327-1 월드프라자지하B1호,,11/8/13,2013년 5차
경기,제2013-174호,(사)한국척수장애인협회 인쇄사업소,"인쇄, 간행물 제작",일자리제공형,기타,구근회,031-421-8418,031-422-8419,경기도 안양시 만안구 덕천로 72번길 27(안양동),www.kscia.org,11/8/13,2013년 5차
경기,제2013-175호,주식회사 굿데이크리닝서비스,"방역소독, 청소용역",일자리제공형,청소,한영식,031-855-2689,031-855-2689,경기도 양주시 백석읍 방성리 511-5,www.gooddaycs.com,11/8/13,2013년 5차
강원,제2013-176호,한국자재산업주식회사,"발전산업자재, 인쇄 판촉물 광고, 온실시공, 농자재",일자리제공형,기타,김홍일,033-373-8778,033-373-8779,강원도 영월군 영월읍 하송리 421-13,,11/8/13,2013년 5차
강원,제2013-177호,주식회사 광고발전소,광고기획 및 홍보물 제작,일자리제공형,기타,김은석,033-253-0955,033-253-0956,강원도 춘천시 충열로 68-1 (우두동),www.adpower.kr,11/8/13,2013년 5차
충남,제2013-178호,(사)해미읍성역사보존회,해미읍성을 활용한 체험프로그램 및 전통주막 등 운영,일자리제공형,관광운동,성두현,041-688-0999,041-688-0999,충청남도 서산시 해미면 읍내리 32-2,www.facebook.com/haemeecastle,11/8/13,2013년 5차
충남,제2013-179호,지성영농조합법인,각종 종묘 생산 및 판매,일자리제공형,기타,김희숙,041-953-2455,041-953-2355,충청남도 서천군 마산면 마명리 147-4,,11/8/13,2013년 5차
충남,제2013-180호,주식회사 천안주거복지센터,집수리사업,일자리제공형,기타,천명순,041-563-4044,041-561-0351,충청남도 천안시 동남구 원성동 314-5,www.chunancenter.or.kr,11/8/13,2013년 5차
충북,제2013-181호,주식회사 비오비,"광고 디자인, 브로슈어 인쇄 및 출판",일자리제공형,기타,허안,043-225-6531~2,043-225-6533,"충청북도 청주시 상당구 대성로 298, 404호 (내덕동, 청주대학교미래창조관)",www.mybob.co.kr,11/8/13,2013년 5차
충북,제2013-182호,주식회사 거름,"숲 조성, 생태체험학습장 운영 등",일자리제공형,환경,하덕천,043-288-3505,043-215-3505,"충청북도 청주시 상당구 산성로116번길 18, 7층 702호(용담동, M-PLUS)",www.georum.com,11/8/13,2013년 5차
충북,제2013-183호,주식회사 에듀크리안트,창의체험학습 및 방과후학교 운영,혼합형,교육,박순길,043-284-8999,043-223-5999,"충청북도 청주시 상당구 명암로197번길4 (명암동,청주랜드3관3층)",www.educreant.com,11/8/13,2013년 5차
서울,제2013-184호,㈜착한사람들,"식자재유통사업, ",일자리제공형,기타,임상규,02-2672-7541,02-831-2889,"서울특별시 영등포구 도림로47길 1(대림동, 우성아파트 201동 지하107호)",www.good-peoples.co.kr,11/8/13,2013년 5차
서울,제2013-185호,사단법인 드림피아 내 드림장애인보호작업장 사업단,"낙각공예, 위생관리용역 및 소독사업, 저수조 청소",일자리제공형,청소,조인숙,02-2695-1222,02-2694-1444,서울특별시 양천구 신월6동 563-1 2층,www.dreamgive.or.kr,11/8/13,2013년 5차
서울,제2013-186호,극단 날으는자동차,"공연, 예술교육",기타형,문화예술,우승주,02-764-8092,0303-0664-8092,"서울특별시 성북구 보문로22길 28, 2층(안암동3가, 신일빌딩)",www.nalja.net,11/8/13,2013년 5차
서울,제2013-187호,살림의료복지사회적협동조합,"의료생협운영, 취약계층 무료진료 ",기타형,보건,민앵,02-6014-9949,02-386-9949,"서울특별시 은평구 서오릉로 149, 2층(구산동, 세웅그룹빌딩)",www.salimhealthcoop.or.kr,11/8/13,2013년 5차
인천,제2013-188호, 주식회사 두손테크,청소경비,일자리제공형,청소,지금련,032-773-3112,032-773-3112,인천광역시 중구 서해대로 483번길 68번지,www.dooson.kr,11/8/13,2013년 5차
인천,제2013-189호,(주)다함께,"물티슈제조,판매",일자리제공형,기타,원용관,032-468-8026,032-467-8024,"인천광역시 남동구 아암대로 1223, 107-1호, 108-1호(고잔동, 성강지식산업센터)",www.dahamgge.kr,11/8/13,2013년 5차
인천,제2013-190호,주식회사 아침햇살,"어린이서적제작, 어린이연극",일자리제공형,문화예술,이윤희,032-762-0592,032-777-0592,인천광역시 남구 경인로34번길 17(숭의동),,11/8/13,2013년 5차
경기,제2013-191호,(주)에코바이오,"효소비료, 탈취제 제조",일자리제공형,기타,김길녀,031-378-9898,031-332-3260,"경기도 오산시 내삼미로80번길 19-1, 1층(수청동)",www.maienza.co.kr,11/8/13,2013년 5차
전북,제2013-192호,주식회사 큰사람아카데미,방과후학교,일자리제공형,교육,김문재,063-219-5247,063-219-5248,"전라북도 전주시 덕진구 백제대로 567  103(덕진동 1가, 전북대학교 1-27)",www.gpacademy.co.kr,11/8/13,2013년 5차
제주,제주특별자치도 제2013-006호,농업회사법인 주식회사 제주살림,"친환경 로컬푸드 생산, 유통, 판매",일자리제공형,기타,강경주,064-796-5585,064-796-5584,제주특별자치도 제주시 한림읍 금악리 198-144,,11/8/13,2013년 5차
제주,제주특별자치도 제2013-007호,제주물마루된장학교 영농조합법인,웰빙전통식품개발 및 교육을 통한 도민건강 증진사업 ,혼합형,기타,부정선,064-796-4764,064-796-4737,제주특별자치도 제주시 한림읍 대림리 118번지,www.moolmaru.co.kr,11/8/13,2013년 5차
대전,제2013-193호,㈜레딕스,"LED조명, 진열대 제조,판매, 전기전자 및 전력기술개발 연구용역업",일자리제공형,기타,황순화,042-671-3716,없음,"대전광역시 대덕구 문평서로 8-24(문평동, 1층)",www.ledix.co.kr,12/17/13,2013년 6차
대전,제2013-194호,미담장학회,방과후학교,기타형,교육,장능인,042-350-0357,042-350-0353,"대전광역시 유성구 문지로 193 (문지동, KAIST문지캠퍼스F동 102호)",www.midamss.org,12/17/13,2013년 6차
충남,제2013-195호,농업회사법인 주식회사 좋은마음,"친환경 편백제품 및 침구류 제조, 도소매",일자리제공형,기타,이창인,041-742-8355,041-742-4222,충청남도 논산시 연무읍 소룡리 산58-6,www.goodmind.com,12/17/13,2013년 6차
충남,제2013-196호,궁골식품영농조합법인,전통장류 생산 및 판매,일자리제공형,기타,최명선,041-734-8753,041-733-8753,충청남도 논산시 상월면 대촌3길 23-10,,12/17/13,2013년 6차
충남,제2013-197호,사단법인 한옥체험업협회,전통문화체험 프로그램의 운영,일자리제공형,문화재,윤완식,070-8224-6515,041-735-1216,충청남도 논산시 노성면 교촌리 306,,12/17/13,2013년 6차
충남,제2013-198호,㈜쥬얼테크,"백제문화상품 개발 및 판매, 액세서리",일자리제공형,기타,김경아,041-854-5970,041-854-5969,충청남도 공주시 감영길 1 (반죽동),www.gomaart.co.kr,12/17/13,2013년 6차
충북,제2013-199호,주식회사 지오디자인,"실내건축, 인테리어사업",일자리제공형,기타,유광식,043-235-4774,043-235-4994,충청북도 청주시 서원구 성봉로220번길 47-18(개신동),www.geodesign.kr,12/17/13,2013년 6차
충북,제2013-200호,주식회사 새움,진로탐색 및 학습 프로그램 운영,혼합형,교육,민창영,043-224-1019,043-224-3019,"충청북도 청주시 상당구 공항로 102(율량동, 2층)",www.neweduself.co.kr,12/17/13,2013년 6차
충북,제2013-201호,"사)영동군장애인협의회 
영동군장애인보호작업장","현수막,간판 등 광고물 및 농산물 판매",일자리제공형,기타,이상만,"043-744-1876,  1871",043-742-8171,충청북도 영동군 영동읍 반곡동길 8,"www.hodory.co.kr, www.ydwork.net",12/17/13,2013년 6차
광주,제2013-202호,주식회사 포아풀,"청소용역, 홈페이지 제작",일자리제공형,청소,서상기,062-432-9021,062-363-3459,광주광역시 남구 백운로34번길 3 (백운동),www.poapul.co.kr,12/17/13,2013년 6차
전북,제2013-205호,농촌살림연구소,농촌유학사업,지역사회공헌형,관광운동,이우길,063-534-3336,063-262-3316,전라북도 정읍시 산내면 황토길 53-6,www.mamter.com,12/17/13,2013년 6차
전북,제2013-206호,알콩달콩가게 유한회사,"도자기, 타일 제조 판매",일자리제공형,기타,방채권,063-534-3336,063-532-2963,전라북도 정읍시 북면 화평길 7,www.rcong.kr,12/17/13,2013년 6차
전북,제2013-207호,사단법인 부신정회 바다의향기,"식품제조, 가공",일자리제공형,기타,조상완,063-583-0035,063-583-0377,전라북도 부안군 부안읍 봉두길 52 ,바다의향기.kr,12/17/13,2013년 6차
부산,제2013-208호,(사)부산돌봄사회서비스센터,"산모도우미파견,공동간병,간병,교육",혼합형,간병가사지원,안혜경,051-852-0525,051-852-0565,"부산광역시 연제구 거제천로 89(거제동,이안빌딩6F)",www.bedolbom.or.kr,12/17/13,2013년 6차
부산,제2013-209호,라메르 오케스트라,"문화공연(오케스트라,앙상블) 및 교육 ",혼합형,문화예술,주경업,051-627-5665,,부산광역시 수영구 남천동 10-7 3층,café.daum.net/lamer1998/,12/17/13,2013년 6차
부산,제2013-210호,주식회사 문화콩,"공연기획 및 제작, 문화예술교육, 문화행사기획 및 홍보마케팅 대행",혼합형,문화예술,조은아,051-754-7474,051-754-4113,"부산광역시 수영구 광남로 214 (민락동,7층)",www.mcong.kr,12/17/13,2013년 6차
울산,제2013-211호,재단법인 울산행복한학교,방과후학교,사회서비스제공형,교육,지성태,052-277-8220,052-277-8221,"울산광역시 남구 돋질로91번길 34(신정동, (신정동,울산중앙초등학교))",www.ushappyschool.org,12/17/13,2013년 6차
경남,제2013-212호,반딧불이 주식회사,"근로자파견,경비,청소용역,폐식용유수거,방과후학교",일자리제공형,청소,이현준,055-261-1329,055-267-0329,"경상남도 창원시 의창구 중앙대로227번길 16 
(용호동,교원단체총연합회빌딩 1층)",,12/17/13,2013년 6차
경남,제2013-213호,주식회사 파이디아,전통놀이 및 문화예술체험 교육,일자리제공형,교육,김동해,055-264-5487,055-266-0420,"경상남도 창원시 의창구 신월로 42, 136 (신월동,토월복합상가)",www.paidia.co.kr,12/17/13,2013년 6차
대구,제2013-214호,주식회사 오디에스다문화교육연구소,방과후 학습 서비스,일자리제공형,교육,이나현,053-421-9755,053-289-0241,"대구광역시 중구 달구벌대로 2019, 3층(동산동)",http://daum.café.net/rainbowongdalsam,12/17/13,2013년 6차
대구,제2013-215호,㈜엄마마음,"도시락 및 밑반찬 배달, 급식",일자리제공형,기타,송영옥,053-965-9002,053-961-9002,대구광역시 동구 큰고개로 12-1 (신암동),www.엄마마음.kr,12/17/13,2013년 6차
경북,제2013-216호,사단법인 순흥초군농악보존회,"선비촌 위탁운영 및 공예품 제작 판매, 전통농악 공연",일자리제공형,문화예술,박백수,054-635-2522,054-638-6445,경상북도 영주시 순흥면 순흥로 55번길 14,,12/17/13,2013년 6차
경북,제2013-217호,백암온천마을 영농조합법인,숙박 및 온천,일자리제공형,기타,신길용,054-788-4490,054-788-4491,경상북도 울진군 온정면 온정1길 119,beagam.co.kr,12/17/13,2013년 6차
경북,제2013-218호,㈜ 두드림,"청소용품, 소독, 방역",일자리제공형,청소,서경숙,054-734-7200,054-734-7290,경상북도 영덕군 영덕읍 덕곡길 107,,12/17/13,2013년 6차
경북,제2013-219호,사단법인 청도코미디시장,코미디 극장 운영 및 공연기획 ,지역사회공헌형,문화예술,전유성,054-373-1951,054-373-1952,경상북도 청도군 이서면 칠곡길 2,www.comedymarket.kr,12/17/13,2013년 6차
경북,제2013-220호,㈜오방색,천연염색 가공 및 제품 판매,일자리제공형,기타,채영숙,054-333-3130,054-334-3130,경상북도 영천시 임고면 양향리 339,www.obagnsaek.co.kr,12/17/13,2013년 6차
경기,제2013-221호,재단법인 행복아이씨티,"IT컨설팅, IT교육, 홈페이지 제작",일자리제공형,기타,김병두,031-625-2500,031-625-2020,"경기도 성남시 분당구 판교로255번길 38, 5층(삼평동, 에스케이판교캠퍼스 비동)",www.hwm.or.kr,12/17/13,2013년 6차
경기,제2013-222호,주식회사 두레,"폐기물처리, 현주막 재활용",일자리제공형,환경,곽태임,031-752-7574,031-776-2447,"경기도 성남시 수정구 대왕판교로 769 (금토동, 지하1층)",www.dooleh.net,12/17/13,2013년 6차
경기,제2013-223호,(주)엑스컴정보통신,"교육 및 실험과학기기, 웹페이지",일자리제공형,기타,장일훈,"02-898-9830
02-897-9830",02-898-7696,경기도 광명시 영당안로36번길 32(소하동),www.xcom.ne.kr;www.xcommall.ne.kr,12/17/13,2013년 6차
경기,제2013-224호,사단법인 장애청년꿈을잡고,"커피숍, 커피",일자리제공형,기타,조동욱,031-852-9203,031-852-9204,"경기도 의정부시 충의로 73(용현동,502-2호)",www.getajob.or.kr,12/17/13,2013년 6차
경기,제2013-225호,주식회사 지드림,종이포장용기,일자리제공형,기타,김희경,032-330-5958,02-851-7220,경기도 남양주시 화도읍  경춘로2347번길 126-2(외2필지),,12/17/13,2013년 6차
경기,제2013-226호,주식회사 참조은,"장기요양, 간병, 돌봄",혼합형,간병가사지원,강경선,031-881-1910,031-882-0875,경기도 여주시 신륵1길 34-11 (천송동) ,,12/17/13,2013년 6차
경기,제2013-227호,사단법인 우리들행복나눔 종합가구사업단,종합가구 제작 및 판매,일자리제공형,기타,임흥묵,031-573-1800,031-573-1802,"경기도 포천시 내촌면 작은넙고개1길 84, 가호동",,12/17/13,2013년 6차
경기,제2013-228호,(주)해피참사랑,"화장지, 각티슈, 소독",일자리제공형,기타,윤재섭,031-741-5771,031-332-5672,경기도 용인시 처인구 임원로8번길 4(고림동),,12/17/13,2013년 6차
경기,제2013-229호,(주)수원사랑나눔,"가사, 간병, 요양",일자리제공형,간병가사지원,김경희,031-295-5178,031-225-8679,"경기도 수원시 장안구 서부로2136번길 21(율전동, 2층)",www.agamazi.co.kr,12/17/13,2013년 6차
경기,제2013-230호,(주)팝그린,"원예교육, 원예컨설팅, 원예강사양성",일자리제공형,교육,김정숙,031-223-3186,031-223-3187,"경기도 수원시 장안구 정조로 941, 3층 312,313호(영화동, 동성영화타운)",,12/17/13,2013년 6차
경기,제2013-231호,주식회사 디귿,"머그컵, 도장 등 켈리그라피 이용한 아트상품",일자리제공형,기타,김두연,070-7771-6660~3,031-223-8789,"경기도 하남시 대청로 33, 7층 701호(신장동, 현대베스코아)",www.digd.co.kr,12/17/13,2013년 6차
경기,제2013-232호,주식회사 다님길,"카폐, 스팀세차",일자리제공형,기타,주현숙,031-652-9321,031-653-9321,"경기도 평택시 경기대로 245(비전동,(신관1층))",,12/17/13,2013년 6차
경기,제2013-233호,주식회사 지엔그린,"도시농업, 도시녹화사업 등",일자리제공형,환경,신미자,032-677-0151,032-351-9088,"경기도 부천시 원미구 원미로 234, 2층(춘의동)",www.gngreen.co.kr,12/17/13,2013년 6차
경기,제2013-234호,(주)몽땅,"공연 및 행사기획, 문화예술교육",기타형,문화예술,김희연,032-323-6481,031-321-0739,"경기도 부천시 원미구 길주로 1, 영상문화단지내사무동 2층(상동)",,12/17/13,2013년 6차
경기,제2013-235호,주식회사 통(Tong cafe),카페 사업,일자리제공형,기타,박옥진,031-885-5749,031-880-5598,경기도 여주군 여주읍 세종로 338(여주대학마로니에공원내교리454-1),,12/17/13,2013년 6차
경기,제2013-236호,김포농식품가공영농조합법인,지역농특산물 가공 판매,일자리제공형,기타,배효원,070-4406-7974,0505-333-7974,경기도 김포시 월곶면 오리정로 13,www.momist.kr,12/17/13,2013년 6차
경기,제2013-237호,(사)우리들행복나눔본부화장지사업단,"화장지, 각티슈, 점보롤 제조",일자리제공형,기타,송순호,031-763-5771,031-761-5773,"경기도 광주시 초월읍 경충대로963번길 11-20(1층,2층)",,12/17/13,2013년 6차
경기,제2013-238호,살판협동조합,공연 및 악기교육,기타형,문화예술,하창범,031-871-2953,031-871-2952,"경기도 의정부시 신흥로258번길 25, 지층 201호(의정부동, 해태프라자)",,12/17/13,2013년 6차
강원,제2013-239호,(유한)늘푸른환경,"청소 및 소독, 청소용품 판매",일자리제공형,청소,권 찬,"033-681-4712, 681-6446",033-681-4713,강원도 고성군 간성읍 상리 501-3,,12/17/13,2013년 6차
강원,제2013-240호,사회적협동조합 원주진로교육센터 새움,"교육상담,  출판업",혼합형,교육,안희정,033-742-2040,033-735-1529,"강원도 원주시 남원로 593(명륜동,2층)",www.eduself.kr,12/17/13,2013년 6차
강원,제2013-241호,사단법인 서곡생태마을,"도자기 농산물 판매, 생태교육사업",기타형,관광운동,이길주,033-762-0360,033-762-0360,강원도 원주시 판부면 서곡길 236-10,http://cafe.daum.net/waterbug1253,12/17/13,2013년 6차
서울,제2013-242호,사단법인 마포공동체라디오,지역 공동체라디오 방송,기타형,문화예술,송덕호,02-332-3246,,서울특별시 마포구 성산동 226-1 4층,www.mapofm.net,12/17/13,2013년 6차
서울,제2013-243호,어시스타 주식회사,사회적 공간 디자인,기타형,환경,정진성,02-713-8711,02-6499-8711,"서울특별시 용산구 원효로25길 31, 201(원효로 4가)",www.assistar.org,12/17/13,2013년 6차
서울,제2013-244호,사단법인 한국장애인단체총연합회 한국웹접근성인증평가원," 웹접근성 인증마크발급, 컨설팅 ",일자리제공형,기타,장윤식,02-858-7220,02-851-7220,"서울특별시 영등포구 양평로 149, 1004,1005호(양평동5가, 양평동 우림라이온스밸리 1차(A))",www.wa.or.kr,12/17/13,2013년 6차
서울,제2013-245호,주식회사 이그린,"식자재 도소매, 농축수산물 도소매, 단체급식 음식업",일자리제공형,기타,신정희,02-868-8020,02-3268-8020,"서울특별시 금천구 시흥대로 47길 18 (시흥동,1층)",egrnnei.com,12/17/13,2013년 6차
서울,제2013-246호,㈜에이컴퍼니,"미술관련 기획 및 판매 서비스, 미술품 도소매업",기타형,문화예술,정지연,070-8656-3303,-,서울특별시 종로구 이화장1나길 3(이화동),www.acompany.asia,12/17/13,2013년 6차
서울,제2013-247호,두바퀴희망자전거 협동조합,"중고자전거 도소매, 자전거수리 도소매",일자리제공형,기타,김연설,02-777-8008,02-715-8018,"서울특별시 용산구 후암로 37, 3층(후암동)",www.2bike.co.kr,12/17/13,2013년 6차
서울,제2013-248호,아이티희망나눔㈜,"아이티 관련 서비스 및 솔루션 구축, DIY 가구제작판매",일자리제공형,기타,김현오,02-996-5533,0505-873-1010,"서울특별시 노원구 동일로174길 27, 202호(공릉동, 사회적경제지원센터 사회적경제기업사무실)",www.ithope.kr,12/17/13,2013년 6차
서울,제2013-249호,㈜인스케어코어,"주거위생환경개선(홈위생케어)사업, 위생관리청소용역, 각종대행청소, 공공기관 위생관리용역, 소독및 방역, 청소용품 약품 장비 물류유통사업",일자리제공형,청소,이창환,02-486-3657,02-486-3598,"서울특별시 광진구 능동로 276 (능동, 한성빌딩지하1호)",www.inscare.or.kr,12/17/13,2013년 6차
서울,제2013-250호,㈜나눔스토어,"온라인정보 제공업, 화환 거치대 제조업, 곡물소매업, 전자상거래업",기타형,기타,강진원,1588-0805,02-2017-7923,"서울특별시 중구 퇴계로 131, 9층(충무로2가, 신일빌딩)",www.nanumstore.com,12/17/13,2013년 6차
서울,제2013-251호,㈜가든프로젝트,"조경건설업, 원예자재 도소매, 환경관련엔지니어링",기타형,환경,박경복,02-2203-9501,02-2203-9505,"서울특별시 성북구 안암로 145,509호(안암동5가, 고려대학교산학관 엘지소셜캠퍼스)",www.gardenproject.co.kr,12/17/13,2013년 6차
서울,제2013-252호,주식회사 복지유니온,"식자재 도소매, 상품중개업, 의류잡화 도소매, 인력공급업",기타형,사회복지,장성오,02-457-2988,02-457-2987,"서울특별시 광진구 자양로 247, 2층(구의동, 고광빌딩)",www.well-union.or.kr,12/17/13,2013년 6차
서울,제2013-253호,㈜하우징케어,"실내건축 및 건축마무리 공사업, 미장, 방수, 조적공사업, 금속구조물, 창호공사, 건축자재 도소매업, 시설물유지관리업, 건물, 산업설비 청소 및 방제서비스",일자리제공형,기타,"서종욱, 한창희",02-379-8984,02-379-8986,"서울특별시 도봉구 노해로 379, 1004호(창동, 대성빌딩)",,12/17/13,2013년 6차
서울,제2013-254호,주식회사 금빛가람종합개발,"건축공사, 주거복지사업",일자리제공형,기타,백영학,02-992-0990,02-904-0990,"서울특별시 강북구 삼양로 441, 2층(수유동)",goldenriver.nehard.kr,12/17/13,2013년 6차
서울,제2013-255호,㈜세상을움직이는힘,빵 제조,일자리제공형,기타,윤경희,070-4251-4264,02-955-4263,"서울특별시 도봉구 도당로 13다길 3-29 (방학동, 지상1층)",seumcafe.co.kr,12/17/13,2013년 6차
인천,제2013-257호,사회적협동조합 인천여성영화제,"영상미디어 교육.디자인 서비스, 영화상영 및 제작 서비스",일자리제공형,문화예술,최주영,070-7579-3080,032-424-3083,"인천광역시 남구 석바위로 68, 803(주안동, 주안필프라자)",www.wffii.kr,12/17/13,2013년 6차
인천,제2013-258호,주식회사 엘림엔터테인먼트,문화예술분야의 공연기획 및 디자인 아이템 개발,일자리제공형,문화예술,노승법,032-434-6989,032-434-6988,인천광역시 남동구 논고개로 393,blog.naver.com/elimet,12/17/13,2013년 6차
인천,제2013-259호,㈜장애인장학사업장,"화장지 제조, 농수산물 도소매, 집단급식소식품판매, 도서 및 관련용품 도소매, 청소용품, 소독용품 등 도소매,, 고물,고철폐자재 도소매, 문구완구사무용품 도소매",일자리제공형,기타,김재필,032-330-5957,0505-988-8500,인천광역시 서구 금곡동 228-1,wpds.co.kr,12/17/13,2013년 6차
경기,제2013-260호,(주)서로좋은가게,"음식품료품, 프랜차이즈, 의류잡화, 전자상거래",기타형,기타,이희석,031-305-5775,031-256-1412,경기도 수원시 장안구 정자천로188번길 39(정자동),www.sogoodstore.co.kr,12/17/13,2013년 6차
서울,제2013-261호,(주)한신플러스케어 ,심리검사 및 상담치료사업,사회서비스제공형,기타,이인재,1644-7363,02-334-0184,"서울특별시 중구 다산로 62, 4층(신당동, 이화빌딩)",www.pluscare.or.kr,12/17/13,2013년 6차
제주,제주특별자치도 제2013-008호,주식회사 한라환경,"타이어 재활용업, 청소도구 제작",일자리제공형,청소,오태흠,064-721-0025,064-721-3303,제주특별자치도 제주시 송이길 172(회천동),www.hallaenv.com,12/17/13,2013년 6차
대전,제2014-001호,주식회사 도담도담맘스클럽,"육아용품 대여 서비스, 온라인광고 서비스",일자리제공형,기타,이효주,042-533-0009,042-522-6630,대전광역시 서구 계룡로 394 다우빌딩2층 (갈마동),www.dodampr.com,3/13/14,2014년 1차
강원,제2014-002호,유한회사 늘푸른환경,"청소, 소독업",일자리제공형,청소,이성진,033-673-4844,033-673-4845,강원도 양양군 양양읍 미륵길 6,,3/13/14,2014년 1차
